wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Co15Er2Mn2	Co;Er;Mn;	15;2;2;	982 K;
Co15FeLa2Mo	Co;Fe;La;Mo;	15;1;2;1;	638 K;
Co15Ga2Gd2	Co;Ga;Gd;	15;2;2;	935 K;
Co15Ga2Nd2	Co;Ga;Nd;	15;2;2;	950 K;
Co15Ga2Pr2	Co;Ga;Pr;	15;2;2;	910 K;860 K;867 K;910 K;
Co15Ga2Sm2	Co;Ga;Sm;	15;2;2;	926 K;930 K;
Co15Ga2Tb2	Co;Ga;Tb;	15;2;2;	946 K;
Co15Ga2Y2	Co;Ga;Y;	15;2;2;	876 K;876 K;928 K;910 K;
Co15Ge2U2	Co;Ge;U;	15;2;2;	650 K;
Co15Ho2Mn2	Co;Ho;Mn;	15;2;2;	998 K;
Co15Ho2Ru2	Co;Ho;Ru;	15;2;2;	933 K;
Co15La2Mn2	Co;La;Mn;	15;2;2;	910 K;
Co15La2Mo2	Co;La;Mo;	15;2;2;	587 K;
Co15Lu2Si2	Co;Lu;Si;	15;2;2;	852 K;
Co15Mn2Nd2	Co;Mn;Nd;	15;2;2;	987 K;
Co15Mn2Pr2	Co;Mn;Pr;	15;2;2;	993 K;
Co15Mn2Sm2	Co;Mn;Sm;	15;2;2;	962 K;
Co15Mn2Tb2	Co;Mn;Tb;	15;2;2;	1047 K;
Co15Mn2Yb2	Co;Mn;Yb;	15;2;2;	1063 K;
Co15Pr2Si2	Co;Pr;Si;	15;2;2;	770 K;
Co15Ru2Y2	Co;Ru;Y;	15;2;2;	893 K;915 K;
Co15Si2U2	Co;Si;U;	15;2;2;	590 K;
Co15Si2Y2	Co;Si;Y;	15;2;2;	831 K;836 K;804 K;
Co16.15Cr0.85Pr2	Co;Cr;Pr;	16.15;0.85;2;	1023 K;
Co16.15Mn0.85Pr2	Co;Mn;Pr;	16.15;0.85;2;	1135 K;
Co16.2La2Mo0.8	Co;La;Mo;	16.2;2;0.8;	948 K;
Co16.2La2Ti0.8	Co;La;Ti;	16.2;2;0.8;	972 K;972 K;
Co16.2La2V0.8	Co;La;V;	16.2;2;0.8;	926 K;
Co16.2Sm2Zr0.8	Co;Sm;Zr;	16.2;2;0.8;	1119 K;
Co16.4La2Mo0.6	Co;La;Mo;	16.4;2;0.6;	987 K;
Co16.4La2Nb0.6	Co;La;Nb;	16.4;2;0.6;	973 K;
Co16.4La2Ta0.6	Co;La;Ta;	16.4;2;0.6;	1020 K;
