wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Fe2Sm	Fe;Sm;	2;1;	676 K;675 K;688 K;675 K;674 K;
Fe2SnTi	Fe;Sn;Ti;	2;1;1;	240 K;
Fe2SnV	Fe;Sn;V;	2;1;1;	200 K;
Fe2Tb	Fe;Tb;	2;1;	711 K;693 K;682 K;697 K;695 K;695 K;704 K;694 K;711 K;706 K;
Fe2TbZn20	Fe;Tb;Zn;	2;1;20;	66 K;
Fe2Tm	Fe;Tm;	2;1;	610 K;599 K;565 K;555 K;566 K;559 K;599 K;
Fe2U	Fe;U;	2;1;	159 K;162 K;170 K;170 K;190 K;192 K;151 K;160 K;160 K;160 K;
Fe2Y	Fe;Y;	2;1;	535 K;543 K;542 K;534 K;542 K;545 K;537 K;535 K;535 K;528 K;550 K;545 K;533 K;550 K;552 K;538 K;545 K;545 K;540 K;
Fe2Yb	Fe;Yb;	2;1;	543 K;
Fe2Zr	Fe;Zr;	2;1;	613 K;586 K;584 K;633 K;633 K;584 K;
Fe3.5Mn1.5Si3	Fe;Mn;Si;	3.5;1.5;3;	265 K;
Fe3Ga	Fe;Ga;	3;1;	720 K;
Fe3Ga4	Fe;Ga;	3;4;	68 K;70 K;420 K;
Fe3Gd	Fe;Gd;	3;1;	728 K;733 K;729 K;725 K;728 K;
Fe3Ge	Fe;Ge;	3;1;	638 K;740 K;655 K;640 K;615 K;
Fe3GeTe2	Fe;Ge;Te;	3;1;2;	220 K;225 K;
Fe3GeU2	Fe;Ge;U;	3;1;2;	55 K;55 K;
Fe3H14NaO24P8	Fe;H;Na;O;P;	3;14;1;24;8;	9.5 K;
Fe3H3.5Tb	Fe;H;Tb;	3;3.5;1;	300 K;
Fe3H3.5Y	Fe;H;Y;	3;3.5;1;	545 K;
Fe3Ho	Fe;Ho;	3;1;	567 K;575 K;577 K;565 K;570 K;566 K;571 K;
Fe3Lu	Fe;Lu;	3;1;	529 K;
Fe3Mn2Si3	Fe;Mn;Si;	3;2;3;	252 K;
Fe3N	Fe;N;	3;1;	382 K;550 K;567 K;
Fe3NPd	Fe;N;Pd;	3;1;1;	600 K;
Fe3NRh	Fe;N;Rh;	3;1;1;	505 K;505 K;
Fe3NW3	Fe;N;W;	3;1;3;	110 K;
Fe3O4	Fe;O;	3;4;	860 K;858 K;858 K;848 K;853.5 K;845.5 K;848 K;1612 K;849.38 K;
Fe3P	Fe;P;	3;1;	716 K;700 K;716 K;686 K;
Fe3P0.2Si0.8	Fe;P;Si;	3;0.2;0.8;	750 K;750 K;
Fe3P0.5Si0.5	Fe;P;Si;	3;0.5;0.5;	697 K;
Fe3P0.8Si0.2	Fe;P;Si;	3;0.8;0.2;	695 K;695 K;
Fe3Pd	Fe;Pd;	3;1;	463 K;575 K;
Fe3Pt	Fe;Pt;	3;1;	355 K;505 K;421.3 K;303 K;528 K;450 K;446.9 K;473 K;462 K;
Fe3S4	Fe;S;	3;4;	570 K;
Fe3Sc2Si	Fe;Sc;Si;	3;2;1;	145 K;
Fe3Se4	Fe;Se;	3;4;	320 K;290 K;353 K;350 K;
Fe3Si	Fe;Si;	3;1;	830 K;823 K;803 K;840 K;840 K;
Fe3SiTi2	Fe;Si;Ti;	3;1;2;	300 K;
Fe3SiV	Fe;Si;V;	3;1;1;	591 K;
Fe3Sm	Fe;Sm;	3;1;	651 K;650 K;650 K;655 K;663 K;650 K;
Fe3Sn	Fe;Sn;	3;1;	743 K;725 K;
Fe3Sn2	Fe;Sn;	3;2;	640 K;
Fe3Tb	Fe;Tb;	3;1;	648 K;655 K;651 K;648 K;652 K;643 K;
Fe3Te3Tl	Fe;Te;Tl;	3;3;1;	220 K;
Fe3Th	Fe;Th;	3;1;	425 K;425 K;
Fe3Tm	Fe;Tm;	3;1;	535 K;539 K;542 K;537 K;
Fe3Y	Fe;Y;	3;1;	549 K;529 K;539 K;537 K;569 K;526 K;545 K;
Fe4Ge4U3	Fe;Ge;U;	4;4;3;	18 K;18 K;
Fe4HoMn8	Fe;Ho;Mn;	4;1;8;	10 K;
Fe4KSb12	Fe;K;Sb;	4;1;12;	85 K;
Fe4MnSi3	Fe;Mn;Si;	4;1;3;	300 K;302 K;302 K;
Fe4N	Fe;N;	4;1;	768 K;517 K;760 K;769 K;767 K;
Fe4NaSb12	Fe;Na;Sb;	4;1;12;	85 K;
Fe4NpP12	Fe;Np;P;	4;1;12;	23 K;23 K;
Fe4P12U	Fe;P;U;	4;12;1;	3.2 K;
Fe4Sb12Sm	Fe;Sb;Sm;	4;12;1;	1.6 K;
Fe5.5Ga6.5Pr	Fe;Ga;Pr;	5.5;6.5;1;	370 K;
Fe5.8Ga6.2Gd	Fe;Ga;Gd;	5.8;6.2;1;	510 K;
Fe5.8Ga6.2Lu	Fe;Ga;Lu;	5.8;6.2;1;	540 K;560 K;
Fe5.8Ga6.2Sm	Fe;Ga;Sm;	5.8;6.2;1;	490 K;
Fe5.8Ga6.2Tb	Fe;Ga;Tb;	5.8;6.2;1;	475 K;
Fe5.8Ga6.2Tm	Fe;Ga;Tm;	5.8;6.2;1;	470 K;460 K;
Fe5.8Ga6.2Yb	Fe;Ga;Yb;	5.8;6.2;1;	530 K;
Fe5.9Ga6.1Ho	Fe;Ga;Ho;	5.9;6.1;1;	490 K;500 K;
Fe5.9Ga6.1Nd	Fe;Ga;Nd;	5.9;6.1;1;	430 K;
Fe5Gd3O12	Fe;Gd;O;	5;3;12;	562 K;
Fe5HoMn7	Fe;Ho;Mn;	5;1;7;	20 K;
Fe5Mn7Nd	Fe;Mn;Nd;	5;7;1;	11 K;
Fe5O12Y3	Fe;O;Y;	5;12;3;	559 K;553 K;
Fe5Si3	Fe;Si;	5;3;	363 K;360 K;373 K;
Fe5Sn3	Fe;Sn;	5;3;	605 K;620 K;635 K;
Fe5SnU	Fe;Sn;U;	5;1;1;	248 K;248 K;
Fe5Th	Fe;Th;	5;1;	680 K;
Fe6Ga6U	Fe;Ga;U;	6;6;1;	515 K;
Fe6Ga6Y	Fe;Ga;Y;	6;6;1;	500 K;350 K;
Fe6HoMn6	Fe;Ho;Mn;	6;1;6;	80 K;
Fe7HoMn5	Fe;Ho;Mn;	7;1;5;	185 K;
Fe7S8	Fe;S;	7;8;	573 K;578 K;
Fe7Se8	Fe;Se;	7;8;	125 K;
Fe7Th2	Fe;Th;	7;2;	570 K;
Fe8.5GdV3.5	Fe;Gd;V;	8.5;1;3.5;	476 K;
Fe8.5LuV3.5	Fe;Lu;V;	8.5;1;3.5;	351 K;
Fe8.5V3.5Y	Fe;V;Y;	8.5;3.5;1;	410 K;394 K;
Fe8GdV4	Fe;Gd;V;	8;1;4;	427.5 K;
Fe8HoMn4	Fe;Ho;Mn;	8;1;4;	260 K;
Fe8LaSi5	Fe;La;Si;	8;1;5;	82 K;
Fe8LuV4	Fe;Lu;V;	8;1;4;	306 K;
Fe8Mn2Si2Y	Fe;Mn;Si;Y;	8;2;2;1;	325 K;
Fe8Mn4Y	Fe;Mn;Y;	8;4;1;	250 K;
Fe8Ni2Si2Y	Fe;Ni;Si;Y;	8;2;2;1;	560 K;
Fe8V4Y	Fe;V;Y;	8;4;1;	350 K;
Fe9.5GdV2.5	Fe;Gd;V;	9.5;1;2.5;	555 K;
Fe9.5LaSi3.5	Fe;La;Si;	9.5;1;3.5;	103 K;
Fe9.5LuV2.5	Fe;Lu;V;	9.5;1;2.5;	442.5 K;
Fe9.5Mo2.5Y	Fe;Mo;Y;	9.5;2.5;1;	297 K;
Fe9.5V2.5Y	Fe;V;Y;	9.5;2.5;1;	482 K;
Fe9Ga8Y2	Fe;Ga;Y;	9;8;2;	371 K;
Fe9GdV3	Fe;Gd;V;	9;1;3;	512.5 K;
Fe9LaSi4	Fe;La;Si;	9;1;4;	88 K;
Fe9LuV3	Fe;Lu;V;	9;1;3;	397 K;
Fe9Mo3Y	Fe;Mo;Y;	9;3;1;	180 K;
Fe9S10	Fe;S;	9;10;	523 K;
Fe9Te8	Fe;Te;	9;8;	63 K;
FeGa2.73Ge0.27	Fe;Ga;Ge;	1;2.73;0.27;	53 K;
FeGa2Hf	Fe;Ga;Hf;	1;2;1;	47.9 K;
FeGaMn2	Fe;Ga;Mn;	1;1;2;	650 K;
FeGaO3	Fe;Ga;O;	1;1;3;	210 K;
FeGaU	Fe;Ga;U;	1;1;1;	45 K;
FeGd2Si2	Fe;Gd;Si;	1;2;2;	145 K;
FeGe	Fe;Ge;	1;1;	280 K;
FeGe0.33MnP0.33Si0.33	Fe;Ge;Mn;P;Si;	1;0.33;1;0.33;0.33;	275 K;
FeGe3Mn4	Fe;Ge;Mn;	1;3;4;	320 K;
FeGeMn	Fe;Ge;Mn;	1;1;1;	235 K;163 K;163 K;159 K;
FeGeMn0.4Ni0.6	Fe;Ge;Mn;Ni;	1;1;0.4;0.6;	243 K;243 K;
FeGeMn0.6Ni0.4	Fe;Ge;Mn;Ni;	1;1;0.6;0.4;	304 K;304 K;
FeGeMn0.8Ni0.2	Fe;Ge;Mn;Ni;	1;1;0.8;0.2;	268 K;268 K;
FeGeRu2	Fe;Ge;Ru;	1;1;2;	273 K;
FeLaNi4	Fe;La;Ni;	1;1;4;	193 K;
FeLaS3	Fe;La;S;	1;1;3;	620 K;
FeLiO4Ti	Fe;Li;O;Ti;	1;1;4;1;	829 K;375 K;855 K;213 K;794 K;753 K;605 K;
FeMn2O6Re	Fe;Mn;O;Re;	1;2;6;1;	520 K;
FeMnP0.67Si0.33	Fe;Mn;P;Si;	1;1;0.67;0.33;	250 K;
FeMoO6Sr2	Fe;Mo;O;Sr;	1;1;6;2;	450 K;400 K;
FeNdO3	Fe;Nd;O;	1;1;3;	690 K;
FeNi3	Fe;Ni;	1;3;	970 K;1180 K;940 K;940 K;821 K;
FeNi4Y	Fe;Ni;Y;	1;4;1;	320 K;
FeO3Sm	Fe;O;Sm;	1;3;1;	448 K;
FeO6ReSr2	Fe;O;Re;Sr;	1;6;1;2;	400 K;
FePRh	Fe;P;Rh;	1;1;1;	120 K;235 K;355 K;
FePd	Fe;Pd;	1;1;	760 K;730 K;720 K;
FePd3	Fe;Pd;	1;3;	540 K;533 K;
FePt	Fe;Pt;	1;1;	720 K;750 K;
FePtSb	Fe;Pt;Sb;	1;1;1;	493 K;
FeRh	Fe;Rh;	1;1;	500 K;670 K;
FeRh2Sb	Fe;Rh;Sb;	1;2;1;	510 K;
FeRh2Sn	Fe;Rh;Sn;	1;2;1;	583 K;573 K;583 K;
FeRu2Sn	Fe;Ru;Sn;	1;2;1;	593 K;573 K;545 K;
FeSb3Zr5	Fe;Sb;Zr;	1;3;5;	540 K;
FeSb4U3	Fe;Sb;U;	1;4;3;	120 K;
FeSe	Fe;Se;	1;1;	413 K;422 K;
FeSi2Tb2	Fe;Si;Tb;	1;2;2;	136 K;
FeV	Fe;V;	1;1;	4.2 K;281 K;16.8 K;
Ga0.05Ge1.75Mn6Sn4.2Yb	Ga;Ge;Mn;Sn;Yb;	0.05;1.75;6;4.2;1;	343 K;
Ga0.05Ge1.8Mn6Sn4.15Yb	Ga;Ge;Mn;Sn;Yb;	0.05;1.8;6;4.15;1;	343 K;
Ga0.15La0.7Mn0.85O3Sr0.3	Ga;La;Mn;O;Sr;	0.15;0.7;0.85;3;0.3;	215 K;
Ga0.4Ge1.4Mn6Sn4.2Yb	Ga;Ge;Mn;Sn;Yb;	0.4;1.4;6;4.2;1;	336 K;
Ga0.5Ge1.8Mn6Sn3.7Yb	Ga;Ge;Mn;Sn;Yb;	0.5;1.8;6;3.7;1;	345 K;
Ga0.9Ge0.9Mn6Sn4.2Yb	Ga;Ge;Mn;Sn;Yb;	0.9;0.9;6;4.2;1;	303 K;
Ga2Gd	Ga;Gd;	2;1;	180 K;
Ga2HfMn	Ga;Hf;Mn;	2;1;1;	25.6 K;
Ga2MgO4	Ga;Mg;O;	2;1;4;	69 K;
Ga2MnNi	Ga;Mn;Ni;	2;1;1;	330 K;
Ga2MnSb2	Ga;Mn;Sb;	2;1;2;	310 K;
Ga2U	Ga;U;	2;1;	125 K;126 K;128 K;123 K;120 K;125 K;
Ga3IrU2	Ga;Ir;U;	3;1;2;	72 K;
Ga3Pu	Ga;Pu;	3;1;	20 K;
Ga3RhU2	Ga;Rh;U;	3;1;2;	60 K;
Ga3RuU2	Ga;Ru;U;	3;1;2;	73 K;
Ga5U3	Ga;U;	5;3;	23 K;
GaGd	Ga;Gd;	1;1;	200 K;183 K;
GaGe1.8Mn6Sn3.2Yb	Ga;Ge;Mn;Sn;Yb;	1;1.8;6;3.2;1;	328 K;
GaGeMn	Ga;Ge;Mn;	1;1;1;	434 K;453 K;452.6 K;
GaHo	Ga;Ho;	1;1;	63 K;63 K;
GaIrU	Ga;Ir;U;	1;1;1;	60 K;
GaMn1.9	Ga;Mn;	1;1.9;	703 K;
GaMn2	Ga;Mn;	1;2;	770 K;
GaMn2Ni	Ga;Mn;Ni;	1;2;1;	588 K;588 K;
GaMn2Pt	Ga;Mn;Pt;	1;2;1;	230 K;230 K;
GaMn2Ru	Ga;Mn;Ru;	1;2;1;	460 K;
GaMn2V	Ga;Mn;V;	1;2;1;	783 K;
GaMn3	Ga;Mn;	1;3;	730 K;770 K;770 K;
GaMnNi2	Ga;Mn;Ni;	1;1;2;	379 K;379 K;373 K;329 K;
GaMnNiPt	Ga;Mn;Ni;Pt;	1;1;1;1;	290 K;
GaMnPt	Ga;Mn;Pt;	1;1;1;	220 K;220 K;
GaMnRh2	Ga;Mn;Rh;	1;1;2;	75 K;85 K;
GaMnRu	Ga;Mn;Ru;	1;1;1;	220 K;
GaNd	Ga;Nd;	1;1;	44 K;44 K;
GaPr	Ga;Pr;	1;1;	32 K;32 K;
GaPtU	Ga;Pt;U;	1;1;1;	68 K;
GaRhU	Ga;Rh;U;	1;1;1;	40 K;
GaS8V4	Ga;S;V;	1;8;4;	13 K;
GaSm	Ga;Sm;	1;1;	108 K;108 K;
GaTb	Ga;Tb;	1;1;	158 K;158 K;
Gd	Gd;	1;	293.4 K;289 K;293.4 K;290 K;
Gd0.1Pd0.9	Gd;Pd;	0.1;0.9;	6 K;4 K;3.73 K;
Gd0.3MnSb11Yb13.7	Gd;Mn;Sb;Yb;	0.3;1;11;13.7;	46 K;
Gd0.48MnSb11Yb13.52	Gd;Mn;Sb;Yb;	0.48;1;11;13.52;	45 K;
Gd0.5Lu0.5	Gd;Lu;	0.5;0.5;	253 K;
Gd0.5Sc0.5	Gd;Sc;	0.5;0.5;	274 K;255 K;
Gd0.5Y0.5	Gd;Y;	0.5;0.5;	213 K;228 K;218 K;218.8 K;235.2 K;259 K;211.7 K;214.8 K;
Gd0.7La0.3	Gd;La;	0.7;0.3;	275 K;185 K;257 K;
Gd0.8Nd0.2	Gd;Nd;	0.8;0.2;	145 K;
Gd0.8Pr0.2	Gd;Pr;	0.8;0.2;	165 K;
Gd0.9Mg0.1	Gd;Mg;	0.9;0.1;	214 K;
Gd0.9Th0.1	Gd;Th;	0.9;0.1;	246 K;
Gd0.9Yb0.1	Gd;Yb;	0.9;0.1;	256 K;
Gd2In	Gd;In;	2;1;	187 K;190 K;187 K;198 K;
Gd2Ni17	Gd;Ni;	2;17;	190 K;187 K;205 K;187 K;190 K;196 K;205 K;
Gd2Ni2.35Si0.65	Gd;Ni;Si;	2;2.35;0.65;	66 K;
Gd2Ni2.4Si0.6	Gd;Ni;Si;	2;2.4;0.6;	96 K;
Gd2Ni2.6Si0.4	Gd;Ni;Si;	2;2.6;0.4;	96 K;
Gd2Ni7	Gd;Ni;	2;7;	117 K;118 K;119 K;116 K;
Gd2Pt	Gd;Pt;	2;1;	155 K;
Gd3In	Gd;In;	3;1;	213 K;
Gd3Pd2	Gd;Pd;	3;2;	38 K;
Gd3Rh2	Gd;Rh;	3;2;	51 K;
Gd3S4	Gd;S;	3;4;	20 K;20 K;
Gd3Se4	Gd;Se;	3;4;	82 K;
Gd4Sb3	Gd;Sb;	4;3;	260 K;
Gd5Ge2Si2	Gd;Ge;Si;	5;2;2;	276 K;
Gd5Pb3	Gd;Pb;	5;3;	275 K;
Gd5Sb3	Gd;Sb;	5;3;	260 K;
Gd6H22Mn23	Gd;H;Mn;	6;22;23;	180 K;
Gd6Mn23	Gd;Mn;	6;23;	461 K;468 K;461 K;468 K;470 K;463 K;
Gd7Pt3	Gd;Pt;	7;3;	300 K;
GdGeSc	Gd;Ge;Sc;	1;1;1;	350 K;
GdGeTi	Gd;Ge;Ti;	1;1;1;	374 K;376 K;380 K;
GdInPt	Gd;In;Pt;	1;1;1;	68 K;
GdIr2	Gd;Ir;	1;2;	90 K;89 K;
GdMg	Gd;Mg;	1;1;	121 K;115 K;116 K;119 K;120 K;
GdMg3	Gd;Mg;	1;3;	117 K;
GdMn2	Gd;Mn;	1;2;	106 K;110 K;185 K;185 K;40 K;110 K;35 K;
GdMn5	Gd;Mn;	1;5;	465 K;468 K;472 K;465 K;
GdN	Gd;N;	1;1;	72 K;
GdNi	Gd;Ni;	1;1;	73 K;71.5 K;72 K;71 K;72 K;
GdNi2	Gd;Ni;	1;2;	81 K;75 K;85 K;77 K;79.3 K;74.1 K;76 K;77 K;80 K;85 K;75 K;90 K;74.2 K;
GdNi3	Gd;Ni;	1;3;	115.5 K;118 K;115 K;113 K;116 K;
GdNi5	Gd;Ni;	1;5;	32 K;32 K;32 K;29.3 K;28 K;31.8 K;33 K;29.8 K;
GdO3V	Gd;O;V;	1;3;1;	118 K;
GdOs2	Gd;Os;	1;2;	66 K;
GdPt	Gd;Pt;	1;1;	66 K;
GdPt2	Gd;Pt;	1;2;	30 K;
GdRh2	Gd;Rh;	1;2;	80 K;
GdRu2	Gd;Ru;	1;2;	83 K;
GdSiTi	Gd;Si;Ti;	1;1;1;	294 K;
GdZn	Gd;Zn;	1;1;	270 K;268 K;270 K;300 K;
GdZn2	Gd;Zn;	1;2;	68 K;
Ge0.12Mn2Sb0.88	Ge;Mn;Sb;	0.12;2;0.88;	340 K;
Ge0.8Mn2PrSi1.2	Ge;Mn;Pr;Si;	0.8;2;1;1.2;	303 K;
Ge1.57U	Ge;U;	1.57;1;	94 K;
Ge1.6Pr	Ge;Pr;	1.6;1;	14 K;19 K;
Ge1.8Mn6Sn4.2Yb	Ge;Mn;Sn;Yb;	1.8;6;4.2;1;	334 K;
Ge13Ir4U3	Ge;Ir;U;	13;4;3;	15 K;15 K;
Ge2Mn2U	Ge;Mn;U;	2;2;1;	360 K;390 K;
Ge2Mn3	Ge;Mn;	2;3;	300 K;
Ge2Mn5	Ge;Mn;	2;5;	710 K;710 K;
Ge2Nd	Ge;Nd;	2;1;	3.6 K;
Ge2Pu	Ge;Pu;	2;1;	35 K;
Ge2RhU	Ge;Rh;U;	2;1;1;	30 K;
Ge2U	Ge;U;	2;1;	52 K;52 K;52.6 K;51.6 K;52 K;
Ge3Mn5	Ge;Mn;	3;5;	310 K;300 K;304 K;293 K;300 K;311 K;304 K;
Ge3Mn5Tb	Ge;Mn;Tb;	3;5;1;	310 K;
Ge4Mn	Ge;Mn;	4;1;	340 K;340 K;
Ge4Nb3U2	Ge;Nb;U;	4;3;2;	130 K;
Ge4Rh6U	Ge;Rh;U;	4;6;1;	14.8 K;
Ge4Ta3U2	Ge;Ta;U;	4;3;2;	105 K;
Ge4U2V3	Ge;U;V;	4;2;3;	60 K;
Ge4U3	Ge;U;	4;3;	91 K;
Ge5Pr3	Ge;Pr;	5;3;	14 K;
Ge5TiU3	Ge;Ti;U;	5;1;3;	73 K;76 K;
Ge5U3	Ge;U;	5;3;	94 K;
Ge6Os0.7Ru6.3U4	Ge;Os;Ru;U;	6;0.7;6.3;4;	9 K;
Ge6Os1.4Ru5.6U4	Ge;Os;Ru;U;	6;1.4;5.6;4;	7 K;
Ge6Ru7U4	Ge;Ru;U;	6;7;4;	6.8 K;12 K;
Ge8Mn11	Ge;Mn;	8;11;	274 K;
Ge9Mn23	Ge;Mn;	9;23;	204 K;470 K;
GeIr0.15Rh0.85U	Ge;Ir;Rh;U;	1;0.15;0.85;1;	9.3 K;
GeIr0.43Rh0.57U	Ge;Ir;Rh;U;	1;0.43;0.57;1;	6 K;
GeMn2Ru	Ge;Mn;Ru;	1;2;1;	303 K;
GeMn3	Ge;Mn;	1;3;	865 K;
GeMnP2	Ge;Mn;P;	1;1;2;	320 K;320 K;
GeMnPd2	Ge;Mn;Pd;	1;1;2;	260 K;170 K;
GeMnRh2	Ge;Mn;Rh;	1;1;2;	450 K;450 K;400 K;470 K;
GeNd	Ge;Nd;	1;1;	25 K;
GePdU	Ge;Pd;U;	1;1;1;	50 K;
GePdYb	Ge;Pd;Yb;	1;1;1;	11.4 K;
GePr	Ge;Pr;	1;1;	36.5 K;42 K;
GePr2Rh3	Ge;Pr;Rh;	1;2;3;	8.5 K;9 K;
GePtYb	Ge;Pt;Yb;	1;1;1;	5.4 K;
GeRhU	Ge;Rh;U;	1;1;1;	9.5 K;9.5 K;9.47 K;9 K;
H18Na2O12Si	H;Na;O;Si;	18;2;12;1;	98 K;
H20MnN2O14S2	H;Mn;N;O;S;	20;1;2;14;2;	43 K;
H23Mn23Tb6	H;Mn;Tb;	23;23;6;	220 K;
H2Pu	H;Pu;	2;1;	55 K;44 K;
H2Tb	H;Tb;	2;1;	18 K;
H30Mn23Th6	H;Mn;Th;	30;23;6;	329 K;
H3U	H;U;	3;1;	171 K;183 K;182 K;168 K;170.7 K;168 K;
H8MgO8S	H;Mg;O;S;	8;1;8;1;	633 K;
HMnO5SrV	H;Mn;O;Sr;V;	1;1;5;1;1;	30 K;
HNiSiU	H;Ni;Si;U;	1;1;1;1;	98 K;
HfMnP	Hf;Mn;P;	1;1;1;	320 K;
HfSb5U3	Hf;Sb;U;	1;5;3;	141 K;
Ho	Ho;	1;	19.5 K;20 K;
Ho0.5Tb0.5	Ho;Tb;	0.5;0.5;	74 K;
Ho2In	Ho;In;	2;1;	138 K;
Ho2Ni17	Ho;Ni;	2;17;	152 K;162 K;162 K;162 K;
Ho2Ni2.6Si0.4	Ho;Ni;Si;	2;2.6;0.4;	28 K;
Ho2Ni7	Ho;Ni;	2;7;	70 K;70 K;
Ho2Pt	Ho;Pt;	2;1;	17 K;
Ho3Pd2	Ho;Pd;	3;2;	20 K;
Ho3Rh2	Ho;Rh;	3;2;	19 K;
Ho6Mn23	Ho;Mn;	6;23;	434 K;434 K;
HoMg	Ho;Mg;	1;1;	25 K;
HoMn2	Ho;Mn;	1;2;	25 K;26 K;31 K;25 K;
HoMn5	Ho;Mn;	1;5;	439 K;425 K;425 K;
HoMo6S8	Ho;Mo;S;	1;6;8;	0.7 K;
HoN	Ho;N;	1;1;	18 K;
HoNi	Ho;Ni;	1;1;	34.5 K;37 K;37 K;31 K;
HoNi2	Ho;Ni;	1;2;	18 K;13.4 K;16 K;13 K;22 K;16 K;16 K;22 K;23 K;20 K;
HoNi2Si	Ho;Ni;Si;	1;2;1;	9 K;
HoNi3	Ho;Ni;	1;3;	65 K;66 K;66 K;
HoNi5	Ho;Ni;	1;5;	4.5 K;4.1 K;4.1 K;23 K;4.9 K;20.5 K;23 K;
HoO3V	Ho;O;V;	1;3;1;	108 K;
HoOs2	Ho;Os;	1;2;	7.6 K;
HoP	Ho;P;	1;1;	5.5 K;
HoPt	Ho;Pt;	1;1;	16 K;
HoZn	Ho;Zn;	1;1;	80 K;74 K;
ILiO3	I;Li;O;	1;1;3;	27 K;
InMn2Pt	In;Mn;Pt;	1;2;1;	350 K;
InMn3	In;Mn;	1;3;	80 K;
InMnNi2	In;Mn;Ni;	1;1;2;	323 K;
InMnRh2	In;Mn;Rh;	1;1;2;	110 K;100 K;
InNd2	In;Nd;	1;2;	112 K;
InNd3	In;Nd;	1;3;	114 K;
InPr3	In;Pr;	1;3;	62 K;
InSc3	In;Sc;	1;3;	5.5 K;
Ir2Nd	Ir;Nd;	2;1;	11.8 K;
Ir2Pr	Ir;Pr;	2;1;	11.2 K;18.5 K;
IrLa2O6Zn	Ir;La;O;Zn;	1;2;6;1;	7.5 K;
IrMnSn	Ir;Mn;Sn;	1;1;1;	265 K;
IrO4Sr2	Ir;O;Sr;	1;4;2;	225.1 K;225.3 K;224 K;225 K;224.9 K;228.5 K;
IrSi3U2	Ir;Si;U;	1;3;2;	11 K;
IrSnU	Ir;Sn;U;	1;1;1;	21 K;23 K;
IrU	Ir;U;	1;1;	46 K;
La0.1O3RuSr0.9	La;O;Ru;Sr;	0.1;3;1;0.9;	133 K;
La0.25O3RuSr0.75	La;O;Ru;Sr;	0.25;3;1;0.75;	79 K;
La0.56MnO3Pb0.44	La;Mn;O;Pb;	0.56;1;3;0.44;	350 K;355 K;
La0.62MnO3Pb0.38	La;Mn;O;Pb;	0.62;1;3;0.38;	340 K;346 K;
La0.67MnO3Sr0.33	La;Mn;O;Sr;	0.67;1;3;0.33;	375 K;
La0.69MnO3Pb0.31	La;Mn;O;Pb;	0.69;1;3;0.31;	330.5 K;337 K;
La0.6MnO3Pb0.4	La;Mn;O;Pb;	0.6;1;3;0.4;	348.5 K;352 K;
La0.6MnO3Sr0.4	La;Mn;O;Sr;	0.6;1;3;0.4;	361 K;
La0.74MnO3Pb0.26	La;Mn;O;Pb;	0.74;1;3;0.26;	318.5 K;328 K;
La0.7MnO3Sr0.3	La;Mn;O;Sr;	0.7;1;3;0.3;	390 K;
La1.2Mn2O7Sr1.8	La;Mn;O;Sr;	1.2;2;7;1.8;	118 K;
La2MnNiO6	La;Mn;Ni;O;	2;1;1;6;	280 K;280 K;
La2Ni7	La;Ni;	2;7;	65 K;70 K;
LaMnO3	La;Mn;O;	1;1;3;	300 K;
LaO3V	La;O;V;	1;3;1;	156 K;
LiNiO2	Li;Ni;O;	1;1;2;	200 K;225 K;130 K;245 K;253 K;82 K;100 K;197.5 K;180 K;220 K;80 K;230 K;225 K;240 K;248 K;16 K;210 K;205 K;140 K;110 K;
LiO6RuSr3	Li;O;Ru;Sr;	1;6;1;3;	90 K;
Lu2MnNiO6	Lu;Mn;Ni;O;	2;1;1;6;	40.01 K;
Lu2O7V2	Lu;O;V;	2;7;2;	69.5 K;70 K;
Lu6Mn23	Lu;Mn;	6;23;	378 K;378 K;
LuO3V	Lu;O;V;	1;3;1;	101 K;
Mg2Pr	Mg;Pr;	2;1;	9.6 K;
Mg3Tb	Mg;Tb;	3;1;	108 K;
MgTb	Mg;Tb;	1;1;	81 K;
Mn0.25NbSe2	Mn;Nb;Se;	0.25;1;2;	25 K;
Mn0.33NbS2	Mn;Nb;S;	0.33;1;2;	48 K;
Mn0.33NbSe2	Mn;Nb;Se;	0.33;1;2;	22 K;
Mn0.33S2Ta	Mn;S;Ta;	0.33;2;1;	80 K;
Mn0.3Pd0.7	Mn;Pd;	0.3;0.7;	2.65 K;7.35 K;5.47 K;26 K;7.71 K;3.9 K;
Mn0.5Ni0.5	Mn;Ni;	0.5;0.5;	60 K;290 K;270 K;688 K;240 K;749 K;636 K;78 K;300 K;300 K;
Mn1.08Zn2.92	Mn;Zn;	1.08;2.92;	140 K;
Mn1.12Rh2Sb0.88	Mn;Rh;Sb;	1.12;2;0.88;	348 K;
Mn1.1Sb	Mn;Sb;	1.1;1;	587 K;600 K;587 K;405 K;490 K;560 K;578 K;570 K;
Mn1.2Pt0.8	Mn;Pt;	1.2;0.8;	540 K;
Mn1.5Sn	Mn;Sn;	1.5;1;	269 K;
Mn1.75Sn	Mn;Sn;	1.75;1;	263 K;269 K;256 K;258 K;
Mn1.8Sn	Mn;Sn;	1.8;1;	256 K;
Mn2.25O4Zn0.75	Mn;O;Zn;	2.25;4;0.75;	9 K;
Mn2.55O4Zn0.45	Mn;O;Zn;	2.55;4;0.45;	25 K;
