Name,Temp,BCCmagmom_composition_average,GSmagmom_composition_average,IsBCC_composition_average,ElectricalConductivity_composition_average,BCCmagmom_max_value,ThirdIonizationEnergy_composition_average,NdValence_composition_average,GSestFCClatcnt_composition_average,ElectronAffinity_composition_average,valence_composition_average,valence_difference,GSestBCClatcnt_composition_average,SpaceGroupNumber_difference,SecondIonizationEnergy_composition_average,Electronegativity_arithmetic_average,IsHexagonal_composition_average,BCCefflatcnt_composition_average,HHIp_composition_average,ThirdIonizationEnergy_arithmetic_average,BCCmagmom_arithmetic_average
Co9Fe2O20Ti4,200,-0.134398334,-0.138767751,-0.763784581,-0.501492486,1.022399734,1.270049692,-0.775771283,-1.129987755,0.745806663,-1.183434653,1.003422116,-1.129987755,1.803691918,1.784002213,1.425122031,0.219468342,-1.216585318,-1.133832032,0.805179427,1.363166778
Co13Mn7,140,1.151919045,0.616426388,0.144544632,0.260410775,0.562039002,0.241753145,0.907897753,-1.100680562,-0.455802581,0.185426138,1.003422116,-1.100680562,-0.674155417,-0.155329436,-0.195421588,1.055497992,-0.874431999,-0.458604065,0.47337168,2.166490525
Co1Mn1O3,392.5,-0.216982055,-0.46237009,-0.32069716,-0.727511635,0.562039002,1.405645364,-0.763526418,-1.293342712,0.669085046,-0.789017137,1.612864005,-1.293342711,1.650423011,1.911188762,1.841327222,-0.295011442,-1.395214839,-1.191899284,1.244951628,1.059304748
Co9Mn6O20,198,-0.103747416,-0.325402922,-0.409314644,-0.604954401,0.562039002,1.349681092,-0.653322626,-1.286384929,0.668420004,-0.858620228,1.612864005,-1.286384928,1.650423011,1.822269881,1.841327222,-0.123518181,-1.371034179,-1.127554492,1.244951628,1.059304748
Co2Mn1O4,193,-0.065308319,-0.256926197,-0.497932129,-0.544543752,0.562039002,1.349248425,-0.628832895,-1.288158214,0.710740833,-0.951424349,1.612864005,-1.288158213,1.650423011,1.829859278,1.841327222,-0.03777155,-1.371528997,-1.104013714,1.244951628,1.059304748
Co11Mn4O20,188,-0.026869221,-0.188449472,-0.586549613,-0.484133104,0.562039002,1.348815759,-0.604343163,-1.289931498,0.753061662,-1.044228471,1.612864005,-1.289931497,1.650423011,1.837448676,1.841327222,0.047975081,-1.372023816,-1.080472937,1.244951628,1.059304748
Co1Mn2O4,100,-0.257503808,-0.599309823,-0.054844707,-0.846596993,0.562039002,1.351411759,-0.751281552,-1.279291792,0.49913669,-0.487403742,1.612864005,-1.279291791,1.650423011,1.791912289,1.841327222,-0.466504704,-1.369054905,-1.221717602,1.244951628,1.059304748
Co3Fe80Ni37O160,871,-0.016295726,0.139151094,-0.054844707,-0.528095738,1.022399734,1.293283505,-0.572200391,-1.259293324,0.758880776,-0.719414046,1.003422116,-1.259293324,1.803691918,1.84816202,1.752772926,-0.863082871,-1.357262101,-1.248593323,1.013311406,1.406014774
Co7Fe20Ni3O40,831,0.208478731,0.270887139,-0.054844707,-0.492292014,1.022399734,1.279762671,-0.610465596,-1.261015841,0.681418545,-0.719414046,1.003422116,-1.261015841,1.803691918,1.829656182,1.752772926,-0.59512465,-1.354818163,-1.145602421,1.013311406,1.406014774
Co97Fe200Ni3O400,786,0.305581297,0.327797111,-0.054844707,-0.476824805,1.022399734,1.27392167,-0.626996165,-1.261759968,0.647954861,-0.719414046,1.003422116,-1.261759968,1.803691918,1.82166166,1.752772926,-0.479366698,-1.353762381,-1.101110352,1.013311406,1.406014774
Co10S19Se1,90,-0.1224313,-0.142844045,-0.94101955,-0.41724162,0.562039002,0.304734002,-0.649241004,0.781751291,1.898603868,0.672647776,0.393980228,0.781751292,1.331112787,0.706218647,2.006628575,0.205177237,-0.109958928,-1.021620993,0.415531643,0.335011122
Co4S7Se1,40,-0.1224313,-0.142844045,-0.94101955,-0.368635352,0.562039002,0.286552932,-0.434955854,0.782677274,1.892827075,0.672647776,0.393980228,0.782677275,1.331112787,0.686202946,2.006628575,0.355233841,-0.070453857,-0.980424632,0.415531643,0.335011122
